ma_hang,ten_san_pham,danh_muc,thuong_hieu,gia_ban,gia_nhap,ton_kho,mo_ta,trang_thai
LO008,Xiaomi Smart Speaker,Loa,Xiaomi,990000,580000,112,"Xiaomi Smart Speaker - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO009,Edifier R1280T Active,Loa,Edifier,2190000,1350000,130,"Edifier R1280T Active - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
LO010,Bose TV Speaker,Loa,Bose,5990000,4000000,59,"Bose TV Speaker - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB001,iPad Pro M4 11 inch 256GB,Tablet,Apple,28990000,22000000,52,"iPad Pro M4 11 inch 256GB - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB002,iPad Air M2 128GB,Tablet,Apple,16990000,12500000,92,"iPad Air M2 128GB - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB003,Samsung Galaxy Tab S9+,Tablet,Samsung,22990000,17000000,52,"Samsung Galaxy Tab S9+ - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB004,Samsung Galaxy Tab A9+,Tablet,Samsung,8490000,5800000,95,"Samsung Galaxy Tab A9+ - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB005,Xiaomi Pad 6 Pro,Tablet,Xiaomi,10990000,7800000,43,"Xiaomi Pad 6 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
TB006,Lenovo Tab P12 Pro,Tablet,Lenovo,13990000,10000000,121,"Lenovo Tab P12 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK001,Sạc nhanh Anker 65W GaN,Phụ kiện,Anker,890000,480000,114,"Sạc nhanh Anker 65W GaN - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK002,Cáp USB-C Belkin 2m,Phụ kiện,Belkin,490000,220000,26,"Cáp USB-C Belkin 2m - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK003,Ốp lưng Spigen iPhone 15 Pro,Phụ kiện,Spigen,390000,180000,145,"Ốp lưng Spigen iPhone 15 Pro - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK004,Kính cường lực Baseus iPhone 15,Phụ kiện,Baseus,290000,120000,93,"Kính cường lực Baseus iPhone 15 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK005,Pin dự phòng Anker 20000mAh,Phụ kiện,Anker,1290000,780000,27,"Pin dự phòng Anker 20000mAh - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK006,Giá đỡ điện thoại Ugreen,Phụ kiện,Ugreen,290000,130000,116,"Giá đỡ điện thoại Ugreen - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK007,Hub USB-C 7-in-1 Ugreen,Phụ kiện,Ugreen,890000,490000,37,"Hub USB-C 7-in-1 Ugreen - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
PK008,Bao da iPad Pro ESR,Phụ kiện,ESR,590000,280000,93,"Bao da iPad Pro ESR - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DH001,Apple Watch Series 9 GPS 41mm,Đồng hồ thông minh,Apple,10990000,7800000,90,"Apple Watch Series 9 GPS 41mm - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DH002,Samsung Galaxy Watch 6 Classic,Đồng hồ thông minh,Samsung,9490000,6500000,89,"Samsung Galaxy Watch 6 Classic - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DH003,Garmin Venu 3,Đồng hồ thông minh,Garmin,11990000,8500000,127,"Garmin Venu 3 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DH004,Xiaomi Watch S3,Đồng hồ thông minh,Xiaomi,2990000,1800000,144,"Xiaomi Watch S3 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
DH005,Fitbit Charge 6,Đồng hồ thông minh,Fitbit,3490000,2200000,25,"Fitbit Charge 6 - Hàng chính hãng, bảo hành 12 tháng",Còn hàng
